rank,call,wall_enter,cpu_enter,thread_id,buffer_count,datatype,rank_of_dest/source,tag,request_array,status_array,request,wall_return,cpu_return
7,"MPI_Init",1032385.230424861,0.019751872,0,10,,,,,,1032385.230425323,0.019752802 
7,"MPI_Comm_rank",1032385.412527714,0.201477538,0,7,,,,,,,1032385.412528501,0.201479126 
7,"MPI_Comm_size",1032385.412539990,0.201490645,0,8,,,,,,,1032385.412540501,0.201491337 
7,"MPI_Comm_rank",1032385.412543457,0.201494260,0,7,,,,,,,1032385.412543939,0.201494769 
7,"MPI_Comm_size",1032385.412580428,0.201530884,0,8,,,,,,,1032385.412580986,0.201531744 
7,"MPI_Comm_rank",1032385.412582128,0.201532750,0,7,,,,,,,1032385.412582678,0.201533308 
7,"MPI_Irecv",1032385.412584129,0.201534904,0,1600,"MPI_DOUBLE",3,0,,,2,1032385.412585311,0.201535964 
7,"MPI_Irecv",1032385.412589219,0.201539979,0,1600,"MPI_DOUBLE",5,0,,,3,1032385.412590010,0.201540560 
7,"MPI_Irecv",1032385.412590804,0.201541567,0,1600,"MPI_DOUBLE",6,0,,,4,1032385.412591431,0.201542174 
7,"MPI_Isend",1032385.412592569,0.201543199,0,1600,"MPI_DOUBLE",3,0,,,5,1032385.412594232,0.201544992 
7,"MPI_Isend",1032385.412597080,0.201547829,0,1600,"MPI_DOUBLE",5,0,,,6,1032385.412597760,0.201548477 
7,"MPI_Isend",1032385.412598681,0.201549391,0,1600,"MPI_DOUBLE",6,0,,,7,1032385.412599469,0.201550216 
7,"MPI_Waitall",1032385.412600870,0.201551620,0,6,,,"{requests: [2, 3, 4, 5, 6, 7]}","{statuses: [{bytes:12800, cancelled:0, source:3, tag:0, error:0}, {bytes:12800, cancelled:0, source:5, tag:0, error:0}, {bytes:12800, cancelled:0, source:6, tag:0, error:0}, {bytes:0, cancelled:0, source:0, tag:0, error:0}, {bytes:0, cancelled:0, source:0, tag:0, error:0}, {bytes:0, cancelled:0, source:0, tag:0, error:0}]}",,1032385.412641843,0.201592437 
7,"MPI_Comm_size",1032385.415165454,0.204112064,0,8,,,,,,,1032385.415166210,0.204113011 
7,"MPI_Comm_rank",1032385.415167490,0.204114288,0,7,,,,,,,1032385.415167810,0.204114611 
7,"MPI_Irecv",1032385.415169561,0.204116359,0,1600,"MPI_DOUBLE",3,0,,,7,1032385.415171334,0.204118127 
7,"MPI_Irecv",1032385.415172356,0.204119149,0,1600,"MPI_DOUBLE",5,0,,,6,1032385.415173175,0.204119970 
7,"MPI_Irecv",1032385.415174250,0.204120799,0,1600,"MPI_DOUBLE",6,0,,,5,1032385.415174910,0.204121698 
7,"MPI_Isend",1032385.415175726,0.204122512,0,1600,"MPI_DOUBLE",3,0,,,4,1032385.415177762,0.204124543 
7,"MPI_Isend",1032385.415178606,0.204125386,0,1600,"MPI_DOUBLE",5,0,,,3,1032385.415179451,0.204126230 
7,"MPI_Isend",1032385.415180094,0.204126873,0,1600,"MPI_DOUBLE",6,0,,,2,1032385.415181289,0.204128066 
